British Columbia,Same Day province visits,"Food and beverage, in stores during trip",141904
British Columbia,Same Day province visits,Recreation,61903
British Columbia,Same Day province visits,Entertainment,41354
British Columbia,Same Day province visits,Clothing,125157
British Columbia,Same Day province visits,Other expenditures,44512
British Columbia,Overnight province visits,Vehicle rental,112042
British Columbia,Overnight province visits,Vehicle operation (including gas and repairs),920421
British Columbia,Overnight province visits,Local transportation,61736
British Columbia,Overnight province visits,"Transportation fares (plane, bus, et cetera)",981614
British Columbia,Overnight province visits,"Food and beverage, in restaurants and bars",1172378
British Columbia,Overnight province visits,"Food and beverage, in stores during trip",435754
British Columbia,Overnight province visits,Recreation,311144
British Columbia,Overnight province visits,Entertainment,216212
British Columbia,Overnight province visits,Clothing,298678
British Columbia,Overnight province visits,Other expenditures,67212
